用户名,内容
ChaoChao,太多人没想明白自己要什么，考研是容错的最优选，提升学历，再给自己三年，薪资待遇也更高，顺便还能考虑下自己适合做什么。
鹏鹏,建议偏文科本科生直接考公，考上研究生后也是继续考公，这时候还没有了本科学习的劲头，说啥硕博进入公务体系后起点高，前提得考上，就这宇宙尽头都是考公的形式，研究生真不一定能考上，近两年研究生的名额还不如本科多呢。
匿名用户,看到越来越卷，为什么我反而越来越兴奋了，越有动力学习了
蔚蔚,因为有面子
抬头赏月低头赶路,从时代发展的角度来看的话，考研其实就是一个趋势。80年代一个中专毕业生具有一技之长，就会不愁前途茫茫；90年代大学毕业生想社会香饽饽，分配工作、分配房子；21世纪以来各大学疯狂扩招，大学毕业生一波接着一波。导致现象就是再就职发展上本科学历并没有明显的优势了，所以考研就是一个趋势，提升自己、加强自身竞争力的趋势。再加上目前职场内卷严重，996是福报，007是基本操作。经济大环境进步缓慢，每年的大学毕业生还越来越多。就业压力越来越大。就有很多应届生会选择避其锋芒，通过考研来继续深造，避开眼前的困境。现在考研的一般都是什么人呢？主要分几种：1、所学的专业是必须要考研才会有出路的，像医学类的专业，不考研很难有好的发展。2、很早就有考研的计划的，本科段只是一个过渡。3、学习成绩优异的，非常有信心一次考上研究生的4、感到迷茫的，快毕业的时候没有很好的就职方向，不知道毕业后应该做什么，只能通过考研继续学习来做一个逃避，寄希望于研究生毕业后有一个好的发展。5、社会生考研。考研确实也一个非常不错的选择，从每年参加考研的人数都在增加的现象就能看出来，今年更是达到了惊人的四百万左右。在备考的这段时间你会升华你自己。考研是一条非常难走的路，考研很难，也很枯燥。如果你能沉下心来学习，两耳不闻窗外事，一心只读圣贤书，并且顺利考上研究生。你的毅力也会得到提升，考研就是自我升华的一个过程。考上研究生后，你会学习到更深刻的专业知识，接触到本专业更前段更先进的技术。毕业后自然是本本科生更具有竞争力的，薪资更是如此。一些IT、互联网的大公司都是明码标价的招人的。毕竟我们呢寒窗苦读12载参加高考，有考研就是为了自己能有个不错的未来和发展嘛，这是很现实的问题。因为考研是一个趋势，预计以后每年考研的人数还会增加，早有计划也好，跟风也罢。都是一个不错的现象。因为提升自己是没有坏处的。而且社会要发展，科技要进步少不了高科技人才。当社会上的人学历越来越高，掌握的知识越来越多得时候，整体的人文素质也会是会得到提高的，社会也会越来越文明，推动社会整体去进步。所以考研是一个很好的现象，就算是跟风也是应该鼓励的，重要的是咱们能否成功坚持下来。这个很重要。
王松豪,不是研究生好就业，而是本科生就业难
是波波丫,其实问题的本质应该是社会得发展太快，使得人们工作上面临的阻碍更多，赚钱难，心理焦虑越来越大，总想着要提升自己，增强自己的竞争力。一个人提升自己叫上进，一群人提升自己便叫“内卷”。在以前的年代，父母都没念过多少书，为什么依然找到工作了呢，因为我国的基础设施不完善，教育不完善，各行各业缺口大。在那个大量需要劳动力的时候，只要你能干活，就能赚到钱维持温饱。再看看现在，教育早已实现了九年普及，现在朝着十二年的方向前进。以前，如果你是大学生，不知方圆几里的人有多羡慕，毕业包分配，薪资高，工作稳定。现在你说你是个大学生……其实有时候都说不出口，大学生遍地都是一抓一大把，一本二本大专都叫大学生，若你不是一本名校，别人的反应都可能只是微乎其微。现在的大学生甚至在一些时候成为了贬义词。学了四年什么也不会找不到工作，只能找个电子厂干（当然不是所有，还是有很多认真学习的伙伴滴，这里指部分现象）来看看数据吧，2020年大学毕业生980万，2020年考教资人数990万，2020年考研人数341万，2020年考公人数超过200万。基本上都是百分之一，千分之一，甚至万分之一的录取率，为什么还是有这么多人前赴后继？答案很简单，疫情给了我们更多的教训，还是铁饭碗好啊，还是编制香啊，真恨自己平时没存钱啊，真恨自己学历低找工作难啊。努力吧，反正是“技多不压身”，卷死他们。基础设施差不多快完善了，还有多少城市没通地铁，没修高楼，没建公路？很少了！行业变化太快了，以前有多少设计师，p图师，广告策划之类的职位吗？以前都是一群人在田里插秧和收割，现在喊个收割机付钱几个小时搞定了…………社会在发展，需要纯劳动力的岗位越发减少了，涉及到文化和技能的需求越来越多了。以前人们说不好好读书，长大后去搬砖，现在恐怕连砖都难得搬了。AI人工智能，高科技产业在未来肯定会普及，所以对社会也提出了更高的要求了。听过那句话吧。二十一世纪最缺的是什么？人才！而学历正是进入社会各行各业的敲门砖！难也，难也！我是波波丫喜欢就关注我吧~
陌上玉,啥叫跟风？你去看看应聘广告？要是有好工作，除非是有名校情节或者是喜欢学术。要不谁想五六点钟起床，十一二点睡觉，一天到晚学习，落下一身病痛。
匿名用户,大多数人只是想晚点进入社会罢了。
匿名用户,形式化的选人考试，类似高考，花一年时间深入学习大学不一定学过的知识，其它领域都得先缓缓，基础差的会多期待所谓的科研呢？导师又如何保证能给予学生必要的专业指导及特定的保障？我更多把它当做基础知识系统强化的过程；能考上是个双刃剑，不能考上也能减少面试or工作中面临基础差而带来的无力/焦虑感（代价是又落后了一年）
Ptee,要是能找到好工作，谁会再受老师的压迫呢。只能说太卷了。
匿名用户,考研和工作、考公一样是个人选择，咋不看待更风式工作、考公呢?选择干什么，不是单纯跟风一词来解决的。考研人数增加就是跟风了，那找工作的人岂不是更跟风?即便一个人人云亦云式地去考研了，你能说他在别的决定上就不跟风了。说的再直白一点，跟风行为哪里都有，抛开具体的跟风行为，我们应该看到自己跟风行为背后更为严重的问题，比如缺乏个人规划和清晰的个人认知等。
匿名用户,很久之前看过一句话，大概类似这样的：你有没有想过那些开考公、考研辅导机构的老师为什么不去考试？
sneaker余,我想换个平台打几年工罢了，至于能不能立足？能更好，立不了就回老家创业，家里条件也可以，考研就是换个地方玩两年
